и	i
заглядывал	zɐˈɡladɨvəɫ
плыл	pɫɨɫ
правого	ˈpravəvə
пульс	puls
пропуск	ˈpropʊsk
прилетел	prɪlɪˈteɫ
тишины	tɪʂɨˈnɨ
связей	ˈsvæzɪj
шорох	ˈʂorəx
лопату	ɫɐˈpatʊ
скрип	skrip
воспитание	vospiˈtaniɛ
брала	ˈbraɫɐ
обращается	ɐbrɐˈɕːæjɪt͡sə
обувь	ˈobʊf
каменный	ˈkamɪnːɨj
каменные	
дружбе	ˈdruʐbe
серии	ˈsɛɾii
плену	ˈplenʊ
хожу	xɐˈʐu
вскочила	fskɐˈt͡ɕiɫə
ответом	ɐtˈvetəm
окликнул	ɐˈkliknʊɫ
целует	t͡sɨˈɫujɪt
здоровенный	zdərɐˈvenːɨj
жару	jaru
прозвище	ˈprɔzviʃtɛ
готовится	ɡɐˈtovɪt͡sə
логика	logika
помешать	pəmɪˈʂat
клиент	kliˈɛnt
президентом	prɪzɪˈdentəm
вине	vɪˈne
украли	ʊˈkralɪ
окружения	ɐkrʊˈʐɛnɪjə
почувствовать	pɐˈt͡ɕustvəvət
тварь	tvar
древние	ˈdrevnɪje
ма	empathy
библиотеку	bɪblɪɐˈtekʊ
товарищем	tɐˈvarɪɕːɪm
учетом	
лечении	lɪˈt͡ɕenɪɪ
решался	rɪˈʂaɫsə
кошек	ˈkoʂɨk
вздыхает	vzdɨˈxajɪt
рвота	ˈrvotə
гуляли	ɡʊˈlælɪ
возникновения	vəznɪknɐˈvenɪjə
удача	ʊˈdat͡ɕə
мелькали	mɪlˈkalɪ
обратилась	ɐbrɐˈtiɫəs
убийцы	ʊˈbijt͡sɨ
нынешних	
сиди	sɪˈdi
делай	ˈdeɫəj
называлось	nəzɨˈvaɫəs
душевной	
освободить	ɐsvəbɐˈdit
молчишь	mɐɫˈt͡ɕiʂ
мечтать	mɪt͡ɕˈtat
горят	ɡɐˈrat
украл	ʊˈkraɫ
функций	ˈfunkt͡sɨj
прислушивался	prɪsˈɫuʂɨvəɫsə
трамвай	trɐɱˈvaj
печаль	pɪˈt͡ɕæl
мероприятия	mɪrəprɪˈjætɪjə
склону	ˈskɫonʊ
результатов	rɪzʊlˈtatəf
облаков	ɐbɫɐˈkof
посыпались	pəsɨˈpalɪs
процент	prɐˈt͡sɛnt
попыток	pɐˈpɨtək
отбросил	ɐdˈbrosɪɫ
снарядов	snɐˈradəf
состоялся	səstɐˈjaɫsə
пережил	ˈperɪʐɨɫ
определяет	ɐprɪdɪˈlæjɪt
разок	rɐˈzok
рисовал	rɪsɐˈvaɫ
ищу	ɪˈɕːu
произведений	prəɪzvɪˈdenɪj
ребенку	
проснулась	prɐsˈnuɫəs
скотина	skɐˈtinə
заседании	zəsɪˈdanɪɪ
смотря	smɐˈtra
озабоченно	ɐzɐˈbot͡ɕɪnːə
забудь	zɐˈbut
грибов	ɡrɪˈbof
успехи	ʊˈspexɪ
никем	nɪˈkem
радоваться	ˈradəvət͡sə
магнитофон	məɡnɪtɐˈfon
блеска	ˈblɛska
автору	ˈaftərʊ
отдавал	ɐdːɐˈvaɫ
множеством	ˈmnoʐɨstvəm
отказать	ɐtkɐˈzat
обмануть	ɐbmɐˈnut
конторы	kɐnˈtorɨ
воспитания	vəspɪˈtanɪjə
светило	svɪˈtiɫə
листа	ˈlista
сходство	ˈsxot͡stvə
здоровых	
зрение	ˈzrenɪje
сцена	ˈst͡sɛnɐ
русскими	ˈruskɪmɪ
оттенок	ɐˈtːenək
отказались	ɐtkɐˈzalɪs
отошли	ɐtɐʂˈli
кислорода	kɪsɫɐˈrodə
постройки	pɐˈstrojkɪ
медицинской	
публикации	pʊblɪˈkat͡sɨɪ
гром	ɡrɔm
беспокоиться	bɪspɐˈkoɪt͡sə
спуститься	spʊˈstit͡sːə
горизонте	ɡərɪˈzonte
инженером	ɪnʐɨˈnerəm
выразился	ˈvɨrəzɪɫsə
сыр	sɯ̞r
сравнении	srɐvˈnenɪɪ
исполнение	ɪspɐɫˈnenɪje
признания	prɪzˈnanɪjə
сообразить	sɐɐbrɐˈzit
горлу	ˈɡorɫʊ
стоп	stop
проходить	prəxɐˈdit
засунул	zɐˈsunʊɫ
выросла	ˈvɨrəsɫə
помогло	pəmɐˈɡɫo
жертва	ˈʒɛrtvɐ
различия	rɐzˈlit͡ɕɪjə
проволоки	ˈprovəɫəkɪ
красивое	krɐˈsivəjə
принимается	prɪnɪˈmajɪt͡sə
стеклу	stɪˈkɫu
рядами	rɪˈdamɪ
побрел	
оторвался	ɐtɐrˈvaɫsə
называемые	
разбил	rɐzˈbiɫ
светлое	
счете	
мировая	
тайгу	tɐjˈɡu
штуку	ˈʂtukʊ
заслуги	ˈzasɫuɡi
технике	ˈtexnɪke
пистолетом	pɪstɐˈletəm
решетки	
убийстве	ʊˈbijstve
моменту	mɐˈmentʊ
оставшихся	
восторге	vɐˈstorɡe
стоявший	stɐˈjafʂɨj
составил	sɐˈstavɪɫ
останавливался	ɐstɐˈnavlɪvəɫsə
точь	
определенного	
взором	ˈvzorəm
выйдя	ˈvɨjdə
разгар	rɐzˈɡar
голодный	ɡɐˈɫodnɨj
травмы	ˈtravmɨ
противоположной	
сверток	ˈsvɵrtək
главному	ˈɡɫavnəmʊ
милые	ˈmiɫɨje
довести	dəvɪˈsti
рассуждал	rəsːʊʐˈdaɫ
приезжает	prɪjɪˈʐːajɪt
ребятишек	rɪbɪˈtiʂɨk
отнести	ɐtnɪˈsti
вызвало	ˈvɨzvəɫə
торчала	tɐrˈt͡ɕaɫə
труб	trup
везли	vɪzˈli
кадры	ˈkadrɨ
объяснили	ɐbjɪsˈnilɪ
художественной	
судьи	sʊˈdji
духовного	
похожей	
производит	prəɪzˈvodɪt
подход	potˈxɔt
ступенькам	stʊˈpenkəm
мышей	mɨˈʂɛj
споры	ˈsporɨ
падать	ˈpadət
сомнение	sɔˈmnɛnijɛ
сиденья	sɪˈdenjə
дружбу	ˈdruʐbʊ
поднимал	pədnɪˈmaɫ
вырвался	ˈvɨrvəɫsə
успокоиться	ʊspɐˈkoɪt͡sə
богатства	ˈbɔɡatstva
появлялась	pəjɪˈvlaɫəs
чашки	ˈt͡ɕaʂkɪ
артисты	ɐrˈtistɨ
поймут	pɐjˈmut
снимали	snɪˈmalɪ
местечко	mɪˈstet͡ɕkə
партийных	pɐrˈtijnɨx
девятьсот	dɪvɪt͡sˈsot
ступени	stʊˈpenɪ
пуль	pul
международных	
мягким	
дикие	ˈdikɪje
осознал	ɐsɐzˈnaɫ
ударился	ʊˈdarɪɫsə
зерно	zɪrˈno
небольшом	
разрешите	rəzrɪˈʂɨte
нерешительно	nɪrɪˈʂɨtɪlnə
опустила	ɐpʊˈstiɫə
одинокий	ɐdɪˈnokɪj
близости	ˈblizəstɪ
переставая	pɪrɪstɐˈvajə
магии	ˈmaɡɪɪ
сравнить	srɐvˈnit
погибнуть	pɐˈɡibnʊt
послышалось	pɐsˈɫɨʂəɫəs
босиком	bəsɪˈkom
бригаду	brɪˈɡadʊ
лидеров	ˈlidɪrəf
протокол	ˈprɔtɔkɔɫ
шиворот	ˈʂɨvərət
сегодняшнего	
нынешней	
сорта	ˈsɔrta
назло	nɐzˈɫo
беспомощно	bɪˈspoməɕːnə
воины	ˈvoɪnɨ
пункта	ˈpunktə
дядей	ˈdædɪj
игрой	ɪˈɡroj
ринулся	ˈrinʊɫsə
разрыв	rɐzˈrɨf
некое	
одобрительно	ɐdɐˈbritɪlnə
приключения	prɪklʉˈt͡ɕenɪjə
волноваться	vəɫnɐˈvat͡sːə
покажет	pɐˈkaʐɨt
парнем	ˈparnɪm
возвращении	vəzvrɐˈɕːenɪɪ
горячая	
детски	ˈdɛtski
сена	ˈsena
получение	pəɫʊˈt͡ɕenɪje
войско	ˈvojskə
протягивая	prɐˈtæɡɪvəjə
единственного	
позволял	pəzvɐˈlaɫ
толк	toɫk
международного	
пережить	pɪrɪˈʐɨt
уходя	ʊxɐˈda
предположил	prɪtpəɫɐˈʐɨɫ
сказка	ˈskaskə
сверх	sverx
забрался	zɐˈbraɫsə
попадет	
сможешь	ˈsmoʐɨʂ
воспоминание	vəspəmɪˈnanɪje
узкую	
поудобнее	
скамейку	skɐˈmejkʊ
идее	ɪˈdeje
недостатки	nɪdɐˈstatkɪ
застонал	zəstɐˈnaɫ
умнее	ʊˈmneje
сомневаться	səmnɪˈvat͡sːə
тащить	tɐˈɕːit
увеличивается	ʊvɪˈlit͡ɕɪvəjɪt͡sə
пуста	pʊˈsta
дураки	dʊrɐˈki
бешено	ˈbeʂɨnə
металлический	mɪtɐˈlit͡ɕɪskɪj
обойти	ɐbɐjˈti
общежития	ɐpɕːɪˈʐɨtɪjə
тронулся	ˈtronʊɫsə
мгновений	mɡnɐˈvenɪj
ударила	ʊˈdarɪɫə
уголь	ˈuɡəl
хороши	xərɐˈʂɨ
нужное	
пьесы	ˈpjesɨ
национальности	nət͡sɨɐˈnalnəstɪ
правительством	prɐˈvitɪlstvəm
основу	ɐsˈnovʊ
завести	zəvɪˈsti
навеки	nɐˈvekɪ
умерли	ˈumɪrlɪ
чуточку	ˈt͡ɕutət͡ɕkʊ
выполнил	ˈvɨpəɫnɪɫ
стрелки	ˈstrɛɫki
фокус	ˈfɔkos
лекцию	ˈlekt͡sɨjʊ
кончик	ˈkont͡ɕɪk
прессе	ˈpresːe
старуху	stɐˈruxʊ
прижимая	prɪʐɨˈmajə
записать	zəpɪˈsat
любим	lo̟ˈbim
выразил	ˈvɨrəzɪɫ
песка	pɪˈska
тонкими	
меняет	mɪˈnæjɪt
попросили	pəprɐˈsilɪ
фонаря	fənɐˈra
свидетелем	svɪˈdetɪlɪm
высунулся	ˈvɨsʊnʊɫsə
образа	ˈobrəzə
святого	svɪˈtovə
победил	pobɛˈdiɫ
собрали	sɐˈbralɪ
койку	ˈkojkʊ
свистом	ˈsvistəm
пещеры	pɪˈɕːerɨ
французской	
налогов	nɐˈɫoɡəf
плавать	ˈpɫavət
старушки	stɐˈruʂkɪ
удивлению	ʊdɪˈvlenɪjʊ
покрепче	ˈkrept͡ɕe
севере	ˈsevɪre
учитывая	ʊˈt͡ɕitɨvəjə
смей	smej
ненавижу	nɪnɐˈviʐʊ
левая	
справку	ˈsprafkʊ
подавать	pədɐˈvat
купаться	kʊˈpat͡sːə
шутить	ʂʊˈtit
находят	nɐˈxodət
истинно	ˈistɪnːə
несут	nɪˈsut
товарищами	tɐˈvarɪɕːəmɪ
сказку	ˈskaskʊ
одиночество	ɐdɪˈnot͡ɕɪstvə
обладают	ɐbɫɐˈdajʊt
платили	pɫɐˈtili
воротами	vɐˈrotəmɪ
интересная	
творчество	ˈtvort͡ɕɪstvə
листьями	ˈlistjəmɪ
опасаясь	ɐpɐˈsajɪs
голосами	ɡəɫɐˈsamɪ
занимать	zənɪˈmat
вызвала	ˈvɨzvəɫə
рассуждения	rəsːʊʐˈdenɪjə
помер	ˈpomɪr
характере	xɐˈraktɪre
принесет	
механизмы	mɪxɐˈnizmɨ
пониже	
глотку	ɡɫɐtˈku
загадочно	zaˈɡadɔt͡ʃnɔ
койки	ˈkojkɪ
промышленность	prɐˈmɨʂlɪnːəst
страхи	ˈstraxɪ
вправе	ˈfprave
пополз	pɐˈpoɫs
холодное	
соображал	sɐɐbrɐˈʐaɫ
картошкой	kɐrˈtoʂkəj
захлопнул	zɐˈxɫopnʊɫ
профиль	profil
собираться	səbɪˈrat͡sːə
извне	ɪzvˈne
продолжают	prədɐɫˈʐajʊt
любопытно	lʊbɐˈpɨtnə
животного	ʐɨˈvotnəvə
появлением	pəjɪˈvlenɪjɪm
оторвал	ɐtɐrˈvaɫ
мертвым	
металл	mɪˈtäɫ
фонда	ˈfondə
бесконечные	
колхозе	kɐɫˈxoze
основная	
чужими	t͡ɕʊˈʐɨmɪ
теплую	
оказываются	ɐˈkazɨvəjʊt͡sə
дернулся	
четвертой	
открытых	ɐtˈkrɨtɨx
соседних	
лампочка	ˈɫampət͡ɕkə
интеллигенция	intelligentsia
дурной	dʊrˈnoj
выходе	ˈvɨxəde
улыбались	ʊɫɨˈbalɪs
заключалась	zəklʉˈt͡ɕaɫəs
съели	ˈsjelɪ
помнила	ˈpomnɪɫə
скромный	ˈskromnɨj
приборы	prɪˈborɨ
полутора	pɐˈɫutərə
наступления	nəstʊˈplenɪjə
проверил	prɐˈverɪɫ
возрасту	ˈvozrəstʊ
ритм	ritm
пиджаке	pɪd͡ʐʐɐˈke
зевнул	zɪvˈnuɫ
милиционера	mɪlɪt͡sɨɐˈnerə
планов	ˈpɫanəf
крупными	ˈkrupnɨmɪ
захватил	zəxvɐˈtiɫ
славно	ˈsɫavnɔ
кризиса	ˈkrizɪsə
палату	pɐˈɫatʊ
конторе	kɐnˈtore
пропаганды	prəpɐˈɡandɨ
золотая	
строем	ˈstrojɪm
враз	vras
испытания	ɪspɨˈtanɪjə
деятелей	ˈdejɪtɪlɪj
процента	prɐˈt͡sɛntə
наступит	nɐˈstupɪt
девицы	dɪˈvit͡sɨ
отпустить	ɐtpʊˈstit
трупов	ˈtrupəf
человеческим	
поверит	pɐˈverɪt
согласны	sɐˈɡɫasnɨ
третьи	ˈtretjɪ
ступеньки	stʊˈpenkɪ
покончить	pɐˈkont͡ɕɪt
долгом	ˈdoɫɡəm
костюмы	kɐˈstumɨ
дорогах	dɐˈroɡəx
валялся	vɐˈlaɫsə
оборот	ɐbɐˈrot
отсутствием	ɐt͡sˈsut͡stvɪjɪm
подала	pədɐˈɫa
вечность	ˈvet͡ɕnəst
ложится	ɫɐˈʐɨt͡sːə
схватить	sxvɐˈtit
переговоров	pɪrɪɡɐˈvorəf
написали	nɐˈpisɐli
усталый	ʊˈstaɫɨj
стойку	ˈstojkʊ
депо	depo
потолку	pətɐɫˈku
лавке	ˈɫafke
руководители	rʊkəvɐˈditɪlɪ
диагноз	diagnoz
кухня	ˈkuxna
оторвать	ɐtɐrˈvat
машинах	mɐˈʂɨnəx
прислали	prɪsˈɫalɪ
успевал	ʊspɪˈvaɫ
предлагают	prɪdɫɐˈɡajʊt
широком	
некоего	
километр	ˈkiɮɔmɵtr̥
размер	ˈrazmɛr
порцию	ˈport͡sɨjʊ
внешнего	
хлопнула	ˈxɫopnʊɫə
напоминала	nəpəmɪˈnaɫə
доказательств	dəkɐˈzatɪlstf
стаканы	stɐˈkanɨ
правдой	ˈpravdəj
разряда	rɐzˈradə
чепуха	t͡ɕɪpʊˈxa
комплекса	ˈkomplɪksə
языков	jɪzɨˈkof
спальне	ˈspalne
неслись	nɪsˈlis
долгой	
программ	prɐˈɡram
шагами	ʂɐˈɡamɪ
мирное	ˈmirnəjə
поляне	pɐˈlæne
похвалил	pəxvɐˈliɫ
бывать	bɨˈvat
убивают	ʊbɪˈvajʊt
политическая	
стоим	ˈstoɪm
жаром	ˈʐarəm
подскочил	pət͡sskɐˈt͡ɕiɫ
угадал	ʊɡɐˈdaɫ
гимнастерки	
электричество	ɪlɪkˈtrit͡ɕɪstvə
получите	poˈɫut͡ʃitɛ
командировку	kəməndɪˈrofkʊ
лишнее	ˈliʂnɪje
вероятность	vɪrɐˈjatnəst
неприятностей	nɪprɪˈjatnəstɪj
рассказывают	rɐˈskazɨvəjʊt
детским	ˈdet͡skɪm
открылся	ɐtˈkrɨɫsə
губах	ɡʊˈbax
прокурора	prəkʊˈrorə
несчастного	
соглашался	səɡɫɐˈʂaɫsə
обрывки	ɐˈbrɨfkɪ
войдет	
журналов	ʐʊrˈnaɫəf
франков	ˈfrankəf
благодарен	bɫaˈɡɔdaɾɛn
подчас	pɐˈt͡ɕːas
нервов	ˈnervəf
стеклами	ˈstɛkɫɐme
яй	jɑj
скрывается	skrɨˈvajɪt͡sə
готовиться	ɡɐˈtovɪt͡sə
надежд	nɐˈdeʂt
голой	
столкнулся	stɐɫkˈnuɫsə
юга	ˈjuɡə
преимущество	prɪɪˈmuɕːɪstvə
держались	dɪrˈʐalɪs
гнездо	ɡnɛˈzdɔ
выпал	ˈvɨpəɫ
покачала	pəkɐˈt͡ɕaɫə
реакцию	rɪˈakt͡sɨjʊ
таланта	tɐˈɫantə
чемоданы	t͡ɕɪmɐˈdanɨ
неизвестного	nɪɪzˈvesnəvə
родины	ˈrodɪnɨ
кузов	ˈkuzəf
марок	ˈmarək
безопасность	bɪzɐˈpasnəst
общаться	ɐpˈɕːat͡sːə
фюрер	ˈfurɨr
сценарий	st͡sɛˈnarij
чувствуют	ˈt͡ɕustvʊjʊt
красном	ˈkrasnəm
комсомола	kəmsɐˈmoɫə
кишечника	kɪˈʂɛt͡ɕnɪkə
сможем	ˈsmoʐɨm
дню	dnu
активности	ɐkˈtivnəstɪ
недавнего	nɪˈdavnɪvə
забуду	zɐˈbudʊ
падение	pɐˈdenɪje
мотора	ˈmɔtɔɾa
водил	vɐˈdiɫ
районах	rɐˈjɵnəx
кисть	kist
быстрым	
мелькнуло	mɪlkˈnuɫə
родственник	ˈrot͡stvɪnːɪk
фонарик	fɐˈnarɪk
красоте	krəsɐˈte
обрадовалась	ɐˈbradəvəɫəs
создан	
дедушки	ˈdedʊʂkɪ
сюрприз	sʊrˈpris
цен	t͡sɛn
посты	pɐˈstɨ
канцелярии	kənt͡sɨˈlærɪɪ
секретарша	sɪkrɪˈtarʂə
спешит	spɪˈʂɨt
блеском	ˈbleskəm
дождавшись	dɐʐˈdafʂɨs
читают	t͡ɕɪˈtajʊt
религии	rɪˈliɡɪɪ
убьет	
силуэт	sɪɫʊˈɛt
глубоким	
терял	tɪˈraɫ
устраивать	ʊˈstraɪvət
полз	poɫs
плиты	plɪˈtɨ
публики	ˈpublɪkɪ
родов	ˈrɔdɔf
сено	sɛˈnɔ
внешних	
пробежал	prəbɪˈʐaɫ
серыми	ˈserɨmɪ
мощные	
характеристики	xərəktɪˈristɪkɪ
проекта	prɐˈɛktə
болтать	bɐɫˈtat
пение	ˈpenɪje
сыновья	sɨnɐˈvja
нормальных	
нравились	ˈnravɪlɪs
шубу	ˈʂubʊ
маршрут	mɐrʂˈrut
раннего	
жажда	ˈʒa̟ʒdɐ
указание	ʊkɐˈzanɪje
славный	ˈsɫavnɨj
арестован	ɐrɪˈstovən
долги	ˈdɔɫɡi
каково	kəkɐˈvo
подробностей	pɐˈdrobnəstɪj
московские	
коммунистической	
тупик	ˈtupik
сентябре	sɪntɪˈbre
напрямую	nəprɪˈmujʊ
налоги	nɐˈɫoɡɪ
задних	
рассвета	rɐsːˈvetə
восторженно	vɐˈstorʐɨnːə
мордой	ˈmordəj
повар	ˈpovər
теме	ˈtɛmɛ
потрогал	pɐˈtroɡəɫ
пленку	
рыжие	ˈrɨʐɨje
носовой	nəsɐˈvoj
человечеству	t͡ɕɪɫɐˈvet͡ɕɪstvʊ
пропало	prɐˈpaɫə
упало	ʊˈpaɫə
горела	ɡɐˈreɫə
взад	vzat
лыжах	ˈɫɨʐəx
купол	ˈkupəɫ
расстегнул	rəsːtɪɡˈnuɫ
предупреждал	prɪdʊprɪʐˈdaɫ
задержать	zədɪrˈʐat
снимая	snɪˈmajə
берегов	bɪrɪˈɡof
встречали	fstrɪˈt͡ɕælɪ
мед	mɛt
носилки	nɐˈsiɫkɪ
фашистов	faˈʃistɔf
трубкой	ˈtrupkəj
молодую	məɫɐˈdujʊ
билета	bɪˈletə
технологии	tɪxnɐˈɫoɡɪɪ
рюмки	ˈrumkɪ
официальной	
следили	slɪˈdilɪ
переулке	pɪrɪˈuɫke
известная	
холодом	ˈxoɫədəm
оглянулась	ɐɡlɪˈnuɫəs
экс	ˈeks
палаты	pɐˈɫatɨ
уроков	ʊˈrokəf
теплым	
учит	ˈut͡ɕɪt
неслышно	nɪsˈɫɨʂnə
чистить	ˈt͡ɕistɪt
вождь	voʂt
собаке	sɐˈbake
шуток	ˈʂutək
переживал	pɪrɪʐɨˈvaɫ
бедра	bɪˈdra
ввиду	vːɪˈdu
петлю	ˈpetlʊ
войсками	vɐjˈskamɪ
колонии	kɐˈɫonɪɪ
лабораторию	ɫəbərɐˈtorɪjʊ
числом	t͡ɕɪsˈɫom
личным	
копать	kɐˈpat
рассмеялась	rəsːmɪˈjaɫəs
ноябре	nəjɪˈbre
эмоции	ɪˈmot͡sɨɪ
пасти	pȃsti
сельского	
запер	ˈzapɪr
нападение	nəpɐˈdenɪje
выскочили	ˈvɨskət͡ɕɪlɪ
рукавами	rʊkɐˈvamɪ
итог	ɪˈtok
корову	kɐˈrovʊ
кусочки	kʊˈsot͡ɕkɪ
строк	strok
белья	bɪˈlja
последствий	pɐsˈlet͡stvɪj
потеря	pɐˈterə
склонился	skɫɐˈniɫsə
пепел	ˈpɛpɛɫ
уход	ʊˈxot
опоздал	ɐpɐzˈdaɫ
джинсах	ˈd͡ʐʐɨnsəx
позор	pɐˈzor
теорию	tɪˈorɪjʊ
помогают	pəmɐˈɡajʊt
собираясь	səbɪˈrajɪs
глядят	ɡlɪˈdat
версию	ˈversɪjʊ
чужая	t͡ɕʊˈʐajə
козла	kɐzˈɫa
холодильник	xəɫɐˈdilnɪk
общение	ɐpˈɕːenɪje
покачиваясь	pɐˈkat͡ɕɪvəjɪs
комок	kɐˈmok
тетки	ˈtɛtki
верхних	
корень	ˈkorɪn
предмета	prɪdˈmetə
описание	ɐpɪˈsanɪje
растерянности	rɐˈsterɪnːəstɪ
достойно	dɐˈstojnə
указывая	ʊˈkazɨvəjə
личную	
отъездом	ɐtˈjezdəm
записывал	zɐˈpisɨvəɫ
нащупал	nɐˈɕːupəɫ
огоньки	ɐɡɐnˈki
лавки	ˈɫafkɪ
широкого	
локти	ˈɫoktɪ
печень	ˈpet͡ɕɪn
особая	ɐˈsobəjə
подозрения	pədɐzˈrenɪjə
грязных	
текла	ˈtɛkɫɐ
синими	
кучи	ˈkut͡ʃi
плот	rails
внешности	ˈvneʂnəstɪ
толстых	
культуре	kʊlˈture
апреле	ɐˈprele
жалобы	ˈʐaɫəbɨ
грузовика	ɡrʊzəvɪˈka
отыскал	ɐtɨˈskaɫ
документами	dəkʊˈmentəmɪ
дружески	ˈdruʐɨskɪ
задней	
пустыни	pʊˈstɨnɪ
совместно	sɐvˈmesnə
национальных	
наблюдали	nəblʊˈdalɪ
исчезают	ɪɕːɪˈzajʊt
переулок	pɪrɪˈuɫək
гробу	ˈɡrobʊ
шлем	ʃlɛm
змей	zmɛj
величины	vɪlɪt͡ɕɪˈnɨ
вступить	fstʊˈpit
помолчав	pəmɐɫˈt͡ɕaf
добычу	dɐˈbɨt͡ɕʊ
характерно	xərɐkˈternə
конфеты	kɐnˈfetɨ
интересный	ɪntɪˈresnɨj
хирург	xiˈrurk
любитель	lʉˈbitɪl
коллектив	kəlɪkˈtif
беседе	bɪˈsede
распространение	rəsprəstrɐˈnenɪje
ура	ˈuɾa
долгого	
нужную	
клетке	ˈkletke
пускают	pʊˈskajʊt
наряду	nərɪˈdu
выбежал	ˈvɨbɪʐəɫ
поблагодарил	pəbɫəɡədɐˈriɫ
фигурки	fɪˈɡurkɪ
пулемета	
общественно	ɐpˈɕːestvɪnːə
хохот	ˈxoxət
автором	ˈaftərəm
развитием	rɐzˈvitɪjɪm
маг	mak
вызывало	vɨzɨˈvaɫə
истинный	ˈistɪnːɨj
пропадает	prəpɐˈdajɪt
украдкой	ʊˈkratkəj
формирования	fərmɪrɐˈvanɪjə
закрыты	zɐˈkrɨtɨ
едой	jɪˈdoj
заставило	zɐˈstavɪɫə
бросив	ˈbrosɪf
катер	ˈkatɪr
футбол	futbol
девятого	
звонили	zvɐˈnilɪ
тяжелого	
визит	vɪˈzit
каменных	
скрылись	ˈskrɨlɪs
собственная	
хор	xɔr
сбил	zbiɫ
знанием	ˈznanɪjɪm
странную	
терпения	tɪrˈpenɪjə
отдалении	ɐdːɐˈlenɪɪ
фильмы	ˈfilmɨ
закрыт	zɐˈkrɨt
стреляют	strɪˈlæjʊt
покинули	pɐˈkinʊlɪ
короткая	
царство	ˈt͡sarstvo
туристы	tʊˈristɨ
мэра	ˈmɛrə
противников	prɐˈtivnɪkəf
возился	vɐˈziɫsə
заговор	ˈzaɡɔvɔr
условно	ˈusɫɔvnɔ
всякими	
папу	ˈpapʊ
устроиться	ʊˈstroɪt͡sə
сигналы	sɪɡˈnaɫɨ
аромат	ɐroˈmat
прозвучал	prəzvʊˈt͡ɕaɫ
открыта	ɐtˈkrɨtə
штанов	ʂtɐˈnof
крикнуть	ˈkriknʊt
рядов	rɪˈdof
останавливаясь	ɐstɐˈnavlɪvəjɪs
сады	sɐˈdɨ
петух	pɪˈtux
эволюции	ɪvɐˈlut͡sɨɪ
особые	ɐˈsobɨje
назывался	nəzɨˈvaɫsə
мешали	mɪˈʂalɪ
длинное	ˈdlinːəjə
калитки	kɐˈlitkɪ
учится	ˈut͡ɕɪt͡sə
глупая	
плату	ˈpɫatʊ
девочкой	ˈdevət͡ɕkəj
применяется	prɪmɪˈnæjɪt͡sə
находилось	nəxɐˈdiɫəs
сыграл	sɨˈɡraɫ
проволокой	ˈprovəɫəkəj
неправда	nɛˈpravdɐ
обращать	ɐbrɐˈɕːæt
возьмите	vɐzˈmite
знаменитой	
ответит	ɐtˈvetɪt
артистов	ɐrˈtistəf
интересные	
расставаться	rəsːtɐˈvat͡sːə
помогла	pəmɐˈɡɫa
висело	vɪˈseɫə
полетели	pəlɪˈtelɪ
публично	pʊˈblit͡ɕnə
прах	prax
непонятным	
подался	pɐˈdaɫsə
волной	vɐɫˈnoj
различными	
посылать	pəsɨˈɫat
формой	ˈforməj
принципы	ˈprint͡sɨpɨ
мыла	ˈmɨɫa
счастливы	ˈɕːaslɪvɨ
мотоцикл	mätäˈt͡sɯ̞kɯ̆ɫ
трудовой	trʊdɐˈvoj
выступить	ˈvɨstʊpɪt
речке	ˈret͡ɕke
выгнали	ˈvɨɡnəlɪ
явиться	jɪˈvit͡sːə
обитателей	ɐbɪˈtatɪlɪj
мрак	mrak
напоминали	nəpəmɪˈnalɪ
бьется	
поцеловала	pət͡sɨɫɐˈvaɫə
военном	vɐˈjenːəm
ближайшего	blɪˈʐajʂɨvə
повела	poˈvɛɫɐ
юноши	ˈjunəʂɨ
всякому	
морозе	mɐˈroze
студента	stʊˈdentə
моряков	mərɪˈkof
поведении	pəvɪˈdenɪɪ
легенды	lɪˈɡendɨ
возражать	vəzrɐˈʐat
удивительного	
армией	ˈarmɪjɪj
издания	ɪzˈdanɪjə
приступил	prɪstʊˈpiɫ
узкая	
хозяйстве	xɐˈzæjstve
кругах	krʊˈɡax
еврейской	
драку	ˈdrakʊ
лай	ɫaj
оделся	ɐˈdeɫsə
источники	ɪˈstot͡ɕnɪkɪ
струи	ˈstrui
свободны	svɐˈbodnɨ
слыша	ˈsɫɨʂə
социальные	
задолго	zɐˈdoɫɡə
препаратов	prɪpɐˈratəf
кони	ˈkonɪ
родились	rədɪˈlis
готовности	ɡɐˈtovnəstɪ
ложкой	ˈɫoʂkəj
местным	
найдут	nɐjˈdut
называемых	
прямого	
оказать	ɐkɐˈzat
представителя	prɪt͡stɐˈvitɪlə
свойство	ˈsvɔjstvo
разговору	rəzɡɐˈvorʊ
восьмого	
привычки	prɪˈvɨt͡ɕkɪ
красивую	krɐˈsivʊjʊ
предполагает	prɪtpəɫɐˈɡajɪt
тетушка	ˈtɵtʊʂkə
стада	ˈstada
исход	ˈisxɔt
постарался	pəstɐˈraɫsə
военное	
ощущая	ɐɕːʉˈɕːæjə
страшных	
сломал	sɫɐˈmaɫ
подбородком	pədbɐˈrotkəm
заднего	ˈzadnɪvə
нары	naːrə
экономике	ɪkɐˈnomɪke
даешь	
проблемами	prɐˈbleməmɪ
узнаем	ʊzˈnajɪm
моде	ˈmode
тьмы	tmɨ
пустяки	pʊstɪˈki
кожаной	
тона	tona
